"UTMZone","UTMNorth","UTMEast","UTMConvergence","UTMSF","UTMCF"
"UTM Zone 10","4,252,191.844","567,820.178","00 28 57.82","0.99965664","N/A"
"UTM Zone 10","4,257,832.561","565,420.468","00 27 59.39","0.99965270","N/A"
"UTM Zone 10","4,267,699.956","566,209.694","00 28 25.06","0.99965398","N/A"
"UTM Zone 10","4,275,218.379","561,053.836","00 26 16.11","0.99964590","N/A"
"UTM Zone 10","4,279,015.216","557,068.309","00 24 35.03","0.99964010","N/A"
"UTM Zone 10","4,289,313.231","547,952.714","00 20 43.55","0.99962832","N/A"
